id,name,风格,风格_multi,风格_证据,风格_关键词,产品,产品_multi,产品_证据,产品_关键词,工艺,工艺_multi,工艺_证据,工艺_关键词,风味,风味_multi,风味_证据,风味_关键词,经营,经营_multi,经营_证据,经营_关键词,价格带,价格_置信,区,商圈,评分,评论数,外卖,团购,分店数,菜品摘要,brand_product,conflict
GaGTxIlc5oLLb4E6,摇滚小子·不裹粉炸鸡(正弘汇店),中式,False,C:品牌映射,brand:摇滚小子,整鸡/大单品,False,C:品牌映射,brand:摇滚小子,生炸/现炸,False,C:品牌映射,brand:摇滚小子,原味+椒盐,True,C:品牌映射,brand:摇滚小子,档口/摊位,False,C:品牌映射,brand:摇滚小子,20-30,A,中原区,科学大道,口味:3.7 环境:3.8 服务:3.8,46,1,1,0,招牌摇滚鸡_招牌鸡背肉_摇滚蔬菜鸡肉丸_摇滚椒麻翅尖_蔬菜鸡肉卷_青提果咖_经典拿铁_椰青美式_经典美式_生椰拿铁,,
ist6NgzuHBJpazne,小妹炸鸡,Unknown,False,D:无证据,,整鸡/大单品+鸡腿+鸡排,True,A:菜品直接证据,大鸡;鸡腿;鸡排,裹粉炸,False,A:菜品直接证据,脆皮,Unknown,False,D:无证据,,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,<10,A,新郑市,炎黄广场,,,1,1,0,鸡排堡_劲爆鸡腿堡_脆皮大鸡腿,,
G9tUgC4zRrG1Lf1k,7K自助炸鸡研究社,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,堂食+外带,False,C:店名推断,自助,30-50,A,新郑市,炎黄广场,口味:3.5 环境:3.5 服务:3.5,27,1,1,0,,,
H5tmsQVaOaKNnnQJ,炸鸡炸鱼,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,含外卖,False,B:外卖字段,1,Unknown,D,中原区,瑞达路沿线,,,1,,0,,,
k7GrZnu6xLEc0oo3,炸季炸串(孟庄店),中式,False,C:品牌映射,brand:炸季,鸡架/锁骨/叉骨,False,C:品牌映射,brand:炸季,生炸/现炸,False,C:品牌映射,brand:炸季,香辣,False,C:品牌映射,brand:炸季,档口/摊位,False,C:品牌映射,brand:炸季,15-20,A,新郑市,新郑市,口味:3.4 环境:3.4 服务:3.4,,,1,5,辣子鸡拌饭_芝麻脆烧饼_芝麻脆小酥饼_女神土豆粉_鲜嫩鸡肉_劲霸小面筋_椒香小酥肉,,
H72ICxHuS5KiLinq,凯尚达风味炸鸡(开源大道店),美式/西式,False,C:品牌映射,brand:凯尚达,鸡排,False,C:品牌映射,brand:凯尚达,裹粉炸,False,C:品牌映射,brand:凯尚达,原味,False,C:品牌映射,brand:凯尚达,档口/摊位,False,C:品牌映射,brand:凯尚达,Unknown,D,新郑市,新郑市,,,,,0,,,
k79uj4RMlnvv2bvP,INNSTAR汉堡炸鸡(中原商贸城店),Unknown,False,D:无证据,,鸡腿,True,A:菜品直接证据,鸡腿;翅尖,Unknown,False,D:无证据,,原味+甜辣+酸甜,True,A:菜品直接证据,原味;香辣;蜂蜜;蜜柚,含团购,False,B:团购字段,1,10-15,A,中原区,碧沙岗,口味:3.5 环境:3.5 服务:3.5,9,,1,0,双层牛肉芝士汉堡_燕麦牛奶_摩卡咖啡_至珍鲜虾堡_蜂蜜柚子茶_草莓果粒多_伯爵红茶_酸梅溜溜汁_山楂树之恋_原味丝袜奶茶,,
G8dPmNfpVMmEf4VR,能量堡韩式炸鸡城轨学校店,韩式,False,C:品牌映射,brand:能量堡,鸡块/鸡米花/鸡柳,False,C:品牌映射,brand:能量堡,裹粉炸,False,C:品牌映射,brand:能量堡,甜辣,False,C:品牌映射,brand:能量堡,外卖型,False,C:品牌映射,brand:能量堡,Unknown,D,新郑市,新郑市,,,,,0,,,
H3uBlKXTZQeGMe5d,冯晨烨御膳叉骨炸鸡(百花路店),中式,False,C:品牌映射,brand:御膳,整鸡/大单品+鸡腿+鸡架/锁骨/叉骨+鸡块/鸡米花/鸡柳,True,C:品牌映射,brand:御膳,生炸/现炸,False,C:品牌映射,brand:御膳,原味+椒盐,True,C:品牌映射,brand:御膳,档口/摊位,False,C:品牌映射,brand:御膳,15-20,A,中原区,碧沙岗,口味:3.5 环境:3.5 服务:3.5,7,1,,0,无骨鸡柳_金星新一代啤酒_鸡肉洋葱圈_香酥炸带鱼_超级大鸡块_超级大叉骨_香酥炸鸡块_香炸脆皮鸡腿_秘制龙骨脆_香酥薯条椒盐味,,
l5bnX13tBDF7jlyp,王三妞炸鸡炸鱼,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,D,中原区,月季公园,,,,,0,,,
FA9VP9zNKs0UDGpU,Bigbear韩式炸鸡(芝士炸鸡·火鸡面·海亮店),韩式,False,C:品牌映射,brand:Bigbear,鸡翅,False,C:品牌映射,brand:Bigbear,裹粉炸,False,C:品牌映射,brand:Bigbear,黄油芝士,False,C:品牌映射,brand:Bigbear,堂食+外带,False,C:品牌映射,brand:Bigbear,15-20,A,金水区,柳林刘庄,,1,1,,0,,,
l5zbhDJC7JQt7emD,工人路炸鸡(沈庄新城店),Unknown,False,D:无证据,,整鸡/大单品+鸡腿+鸡翅+鸡块/鸡米花/鸡柳,True,A:菜品直接证据,大鸡;鸡腿;鸡翅;鸡柳,Unknown,False,D:无证据,,原味,False,A:菜品直接证据,经典,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,10-15,A,金水区,曼哈顿广场/英协路,口味:3.9 环境:4.0 服务:4.0,62,1,1,0,黄金琵琶腿_招牌炸鸡腿_经典大鸡翅_招牌翅根_招牌炸鸡柳_炸鸡翅根,,
EaeaSc7h5PYGukQi,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,D,金水区,,,,,,0,,,
l7osH9L3llb92yB2,摇滚小子生炸鸡,中式,False,C:品牌映射,brand:摇滚小子,整鸡/大单品,False,C:品牌映射,brand:摇滚小子,生炸/现炸,False,C:品牌映射,brand:摇滚小子,原味,False,C:品牌映射,brand:摇滚小子,档口/摊位,False,C:品牌映射,brand:摇滚小子,10-15,A,中牟县,杉杉奥特莱斯,口味:4.0 环境:4.0 服务:4.0,33,,1,0,招牌脆骨肉_招牌鸡排骨_招牌鸡背肉,,
H5hu6IiQKFtZLou9,棒棒鸡炸串,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,D,登封市,百货大楼/中天广场,,,,,0,,,
G2OhQGwbQn3k89wt,朴东杰黄油芝士炸鸡·火鸡面(白沙店),韩式,False,C:品牌映射,brand:朴东杰,鸡翅,False,C:品牌映射,brand:朴东杰,裹粉炸,False,C:品牌映射,brand:朴东杰,黄油芝士,False,C:品牌映射,brand:朴东杰,堂食+外带,False,C:品牌映射,brand:朴东杰,Unknown,D,中牟县,白沙镇,,,1,,0,,,
G8CNqmhGNyq8zvjC,刘婉婉生炸妙龄鸡(卢店店),中式,False,C:品牌映射,brand:刘婉婉,整鸡/大单品,False,C:品牌映射,brand:刘婉婉,生炸/现炸,False,C:品牌映射,brand:刘婉婉,原味,False,C:品牌映射,brand:刘婉婉,档口/摊位,False,C:品牌映射,brand:刘婉婉,<10,A,登封市,登封市,口味:4.0 环境:4.0 服务:4.0,21,1,1,4,鸡背肉_无骨辣子鸡_奶香地瓜条_无骨上腿肉,,
H78KKW4he4lBEzBF,延庆观炸鸡,中式,False,C:品牌映射,brand:延庆观,整鸡/大单品,False,C:品牌映射,brand:延庆观,卤炸,False,C:品牌映射,brand:延庆观,原味,False,C:品牌映射,brand:延庆观,档口/摊位,False,C:品牌映射,brand:延庆观,Unknown,D,登封市,登封市,,,,,0,,,
l8pITSrFDKbjrfi9,嗨吃客香酥鸡柳饼,中式,False,C:店名推断,香酥鸡,鸡块/鸡米花/鸡柳,False,A:菜品直接证据,鸡柳,Unknown,False,D:无证据,,原味,False,C:店名推断,香酥,含团购,False,B:团购字段,1,Unknown,D,中牟县,白沙镇,,,,1,0,手工油酥烧饼_鸡柳,,
k2pxosbdISCJJzE4,佰味皇后,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,D,中牟县,白沙镇,,,,,0,,,
FzWRq6k7F7SkHC4j,鸡柳舵主(郑东新区店),中式,True,A:菜品直接证据,香酥鸡;吮指;三合一,整鸡/大单品+鸡腿+鸡翅+鸡架/锁骨/叉骨+鸡块/鸡米花/鸡柳,True,A:菜品直接证据,大鸡;鸡腿;鸡翅;鸡架;鸡柳,生炸/现炸,False,A:菜品直接证据,现炸,原味,True,A:菜品直接证据,香酥;甘梅,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,10-15,A,管城回族区,汽车东站,口味:4.0 环境:4.0 服务:4.1,183,1,1,0,大鸡架_鸡腿肉_怪味鸡翅尖_招牌香酥鸡柳_三味真火淀粉肠_爆汁鸡腿_吮指黄金薯条,,
G9jFIehgwOCrzRhO,小刘炸鸡,韩式,True,A:菜品直接证据,韩式;双拼,鸡腿+鸡架/锁骨/叉骨,True,A:菜品直接证据,鸡腿;鸡叉骨;无骨炸鸡,Unknown,False,D:无证据,,香辣+孜然+酸甜,True,A:菜品直接证据,香辣;孜然;甘梅,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,Unknown,D,管城回族区,汽车东站,口味:3.5 环境:3.6 服务:3.6,1,1,1,0,甘梅鸡叉骨_甘梅鸡腿肉_香辣鸡腿肉_鸡腿肉双拼_香辣鸡叉骨_孜然鸡腿肉,,
iPNdpFEH4W55xy8e,夸父炸串(管城卢浮公馆店),中式,False,C:品牌映射,brand:夸父,鸡架/锁骨/叉骨,False,C:品牌映射,brand:夸父,生炸/现炸,False,C:品牌映射,brand:夸父,香辣,False,C:品牌映射,brand:夸父,档口/摊位,False,C:品牌映射,brand:夸父,Unknown,D,管城回族区,汽车东站,,,,,0,,,
G9WEDxFdsIjQwWrR,POTATOBOXCLUB 卷卷薯条·炸鸡(郑东店),美式/西式,True,A:菜品直接证据,美式炸鸡;泰式;三合一,鸡排+鸡块/鸡米花/鸡柳,True,A:菜品直接证据,鸡排;鸡米花,裹粉炸,False,A:菜品直接证据,脆皮,Unknown,False,D:无证据,,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,15-20,A,管城回族区,汽车东站,口味:4.0 环境:3.9 服务:4.0,22,1,1,0,泰式脆皮山药片_一号公路脆鸡堡_mini巨型直薯_美式炸鸡排_爆汁鸡米花_招牌薯条年糕山药三合一,,
G9jvRNHOMWYLa1Tp,福大妞炸串•烤冷面,Unknown,False,D:无证据,,整鸡/大单品,False,A:菜品直接证据,嫩鸡,Unknown,False,D:无证据,,原味+香辣,True,A:菜品直接证据,经典;香辣,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,10-15,A,金水区,普罗旺世/庙李,口味:3.9 环境:3.9 服务:3.9,18,1,1,0,鲜嫩鸡肉串_经典烤冷面_旋风薯塔_蟹排串_开花爆炸肠_手抓饼_香辣鸭肠_黄金玉米粒,,
l75xMDY9o4rMqMN9,李吉张蒜香炸鸡,韩式,False,A:菜品直接证据,韩式,鸡块/鸡米花/鸡柳,False,A:菜品直接证据,鸡块,Unknown,False,D:无证据,,蒜香,False,C:店名推断,蒜香,含团购,False,B:团购字段,1,Unknown,D,中牟县,沃金/山顶福都,,,,1,0,韩式鸡块,,
k5zvoOls4W7R8Lyz,栯一串,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,Unknown,D,荥阳市,海龙时代广场,,,1,1,0,锡纸鸭血金针菇,,
l4njr6ZMXjma2tCo,满巍明生炸鸡架(正弘汇店),中式,False,C:品牌映射,brand:满巍明,鸡腿+鸡架/锁骨/叉骨+鸡脖/其他部位,True,C:品牌映射,brand:满巍明,生炸/现炸,False,C:品牌映射,brand:满巍明,香辣,False,C:品牌映射,brand:满巍明,档口/摊位,False,C:品牌映射,brand:满巍明,20-30,A,中原区,科学大道,口味:3.8 环境:3.9 服务:3.9,41,1,1,19,生炸鸡架_生椰拿铁鸡脖_美味脆鸡胗_鸡腱腿_飘香脆脆薯_脆皮小鸡腿_超级鸡叉骨_究极鸡腿肉_生椰拿铁鸡肋条_生椰拿铁鸡腱腿,,
G6Xp62Qgd8Wt8VCN,炸鸡草FCM给料放题自助(黄科大店),Unknown,False,D:无证据,,鸡腿+鸡排,True,A:菜品直接证据,大鸡;鸡腿;鸡翅;鸡排;鸡块,裹粉炸,True,A:菜品直接证据,脆皮;现炸,黑胡椒,True,A:菜品直接证据,黑胡椒;番茄,堂食+外带,False,C:店名推断,自助,30-50,A,二七区,橄榄城,口味:3.9 环境:4.0 服务:3.8,128,1,1,0,草料卤香鸡腿肉_地瓜条_黑胡椒烤肠_葡式蛋挞_黑椒意面_藤椒鸡排堡,,
FMptiPGYBUtTH3ds,鸡柳大人(郑州曼哈顿店),中式,False,C:品牌映射,brand:鸡柳大人,鸡块/鸡米花/鸡柳,False,C:品牌映射,brand:鸡柳大人,生炸/现炸,False,C:品牌映射,brand:鸡柳大人,椒盐,False,C:品牌映射,brand:鸡柳大人,档口/摊位,False,C:品牌映射,brand:鸡柳大人,10-15,A,金水区,曼哈顿广场/英协路,口味:3.5 环境:3.4 服务:3.6,14,1,1,36,鸡柳薯条年糕三合一_空气年糕,,
FXmAQZtfQsciw0z3,阿刚烧烤,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,D,管城回族区,橡树玫瑰城,,,,,0,,,
l71N1V9ciucuxhBc,工农兵铁锅炖菜(中州大道店),Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,D,管城回族区,橡树玫瑰城,,,,,0,,,
H4CVttG6vSUf6xG2,爆掌柜生炸鸡架(橡树玫瑰城店),中式,False,C:品牌映射,brand:爆掌柜,鸡腿+鸡翅+鸡块/鸡米花/鸡柳,True,C:品牌映射,brand:爆掌柜,生炸/现炸,False,C:品牌映射,brand:爆掌柜,香辣+酱香+酸甜,True,C:品牌映射,brand:爆掌柜,档口/摊位,False,C:品牌映射,brand:爆掌柜,10-15,A,管城回族区,橡树玫瑰城,口味:3.3 环境:3.3 服务:3.3,,1,1,11,锅巴土豆_甘梅地瓜_无骨鸡柳_咖喱鸡柳肉夹饼_五香里脊肉夹饼_奥尔良腿排夹饼_生炸麻辣翅尖_麻辣伴翅_香辣伴翅_生炸手枪腿,,
k5MfszP9VrlYIU4F,真好炸串(祭城2号院店),Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,含团购,False,B:团购字段,1,Unknown,D,金水区,祭城/大旺城,,,,1,0,,,
ikoLP6zMNBHCOVfC,上京城中国鸡排饼汉堡(祭城农贸市场店),中式,True,A:菜品直接证据,香酥鸡;台式,鸡腿+鸡翅+鸡排+鸡块/鸡米花/鸡柳,True,A:菜品直接证据,大鸡;鸡腿;翅根;鸡排;鸡块,裹粉炸,False,A:菜品直接证据,脆皮,原味,True,A:菜品直接证据,香酥;香辣;芝士;甘梅,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,10-15,A,金水区,祭城/大旺城,口味:3.6 环境:3.6 服务:3.6,76,1,1,7,招牌香辣鸡排_黄金翅根_对翅_手擀七虾堡_手擀鳕鱼堡_中国鸡腿堡_京城脆皮炸鸡腿_中国鳕鱼堡_招牌鸡柳卷饼_中国七虾堡,,
EzG7fgcYKK9oDyhu,正新鸡排·炸鸡烧烤(祭城店),美式/西式,False,C:品牌映射,brand:正新,整鸡/大单品+鸡翅+鸡排,True,C:品牌映射,brand:正新,裹粉炸,False,C:品牌映射,brand:正新,原味,False,C:品牌映射,brand:正新,档口/摊位,False,C:品牌映射,brand:正新,10-15,A,金水区,祭城/大旺城,口味:3.9 环境:4.0 服务:3.9,33,1,1,0,中国鸡排汉堡_正新大烤肠_金锤翅根_大鸡肉串_爆料鸡排,,
jYbLTbcrb57x9Mls,延庆观炸鸡(祭城店),中式,False,C:品牌映射,brand:延庆观,整鸡/大单品+鸡腿+鸡翅+鸡架/锁骨/叉骨+鸡块/鸡米花/鸡柳,True,C:品牌映射,brand:延庆观,卤炸,False,C:品牌映射,brand:延庆观,原味+黑胡椒,True,C:品牌映射,brand:延庆观,档口/摊位,False,C:品牌映射,brand:延庆观,20-30,A,金水区,祭城/大旺城,口味:3.7 环境:3.7 服务:3.8,36,,,0,黄金鸡翅根_黑胡椒香肠_大琵琶腿_焦酥大烧饼_香酥鸡柳_上校鸡块_美味薯条_香芋地瓜丸_全家福_牙签肉第,,
k7yd7zVMreQ8qboP,烙馍卷面筋·炸串,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,D,金水区,祭城/大旺城,,,,,0,,,
l60mxoFHEoXLVcfC,黎太院·韩式炸鸡(祭城店),韩式,False,C:品牌映射,brand:黎太院,鸡块/鸡米花/鸡柳,False,C:品牌映射,brand:黎太院,裹粉炸,False,C:品牌映射,brand:黎太院,香辣+酱香,True,C:品牌映射,brand:黎太院,堂食+外带,False,C:品牌映射,brand:黎太院,20-30,A,金水区,祭城/大旺城,口味:3.7 环境:3.7 服务:3.6,12,,1,0,爆辣韩式火鸡面_嫩脆小翅根_雪花啤酒_酥酥糯糯年糕_爆辣韩式火鸡面酥酥糯糯年糕_酱料口味自选可拼盘_香辣剁椒烤面筋,,
